Calinski Harabasz, (CH)
Number of cluster: 2,4723.79
Number of cluster: 3,3353
Number of cluster: 4,2913.73
Number of cluster: 5,2916.51
Number of cluster: 6,2628.87
Number of cluster: 7,2388.83
Number of cluster: 8,2390.46
Number of cluster: 9,2244.47
Number of cluster: 10,2154.4
Number of cluster: 11,2105.29
Number of cluster: 12,2002.58
Number of cluster: 13,1948.8
Number of cluster: 14,1858.87
Number of cluster: 15,1821.59
Number of cluster: 16,1774.78
Number of cluster: 17,1725.02
Number of cluster: 18,1659.86
Number of cluster: 19,1644.83
Number of cluster: 20,1561.23
Number of cluster: 21,1509.88
Number of cluster: 22,1496.18
Number of cluster: 23,1459.6
Number of cluster: 24,1413.09
Number of cluster: 25,1382.11
Number of cluster: 26,1354.09
Number of cluster: 27,1333.96
Number of cluster: 28,1326.67
Number of cluster: 29,1305.7
Number of cluster: 30,1267.42
Number of cluster: 31,1241.86
Number of cluster: 32,1232.6
Number of cluster: 33,1218.88
Number of cluster: 34,1196.24
Number of cluster: 35,1180.33
Number of cluster: 36,1166.37
Number of cluster: 37,1150.18
Number of cluster: 38,1126.02
Number of cluster: 39,1108.71
Number of cluster: 40,1091.74
Number of cluster: 41,1077.06
Number of cluster: 42,1073.9
Number of cluster: 43,1053
Number of cluster: 44,1032.68
Number of cluster: 45,1057.19
Number of cluster: 46,1015.52
Number of cluster: 47,1007.5
Number of cluster: 48,1007.67
Number of cluster: 49,997.957
Number of cluster: 50,980.168
Number of cluster: 51,977.437
Number of cluster: 52,973.853
Number of cluster: 53,962.643
Number of cluster: 54,949.267
Number of cluster: 55,941.07
Number of cluster: 56,919.455
Number of cluster: 57,922.377
Number of cluster: 58,900.104
Number of cluster: 59,918.895
Number of cluster: 60,912.299
Number of cluster: 61,900.373
Number of cluster: 62,886.961
Number of cluster: 63,899.3
Number of cluster: 64,898.54
Number of cluster: 65,896.467
Number of cluster: 66,883.965
Number of cluster: 67,876.102
Number of cluster: 68,871.143
Number of cluster: 69,864.064
Number of cluster: 70,858.828
Number of cluster: 71,842.014
Number of cluster: 72,839.858
Number of cluster: 73,826.694
Number of cluster: 74,833.284
Number of cluster: 75,832.199
Number of cluster: 76,822.962
Number of cluster: 77,818.704
Number of cluster: 78,808.468
Number of cluster: 79,811.563
Number of cluster: 80,808.543
Number of cluster: 81,799.559
Number of cluster: 82,803.329
Number of cluster: 83,797.935
Number of cluster: 84,794.925
Number of cluster: 85,791.26
