Calinski Harabasz, (CH)
Number of cluster: 2,1832.59
Number of cluster: 3,1669.13
Number of cluster: 4,1166.07
Number of cluster: 5,1459.38
Number of cluster: 6,1319.26
Number of cluster: 7,1211.03
Number of cluster: 8,1203.89
Number of cluster: 9,931.782
Number of cluster: 10,988.386
Number of cluster: 11,970.12
Number of cluster: 12,927.866
Number of cluster: 13,887.462
Number of cluster: 14,832.78
Number of cluster: 15,793.08
Number of cluster: 16,864.743
Number of cluster: 17,841.743
Number of cluster: 18,805.01
Number of cluster: 19,803.753
Number of cluster: 20,771.616
Number of cluster: 21,736.984
Number of cluster: 22,702.714
Number of cluster: 23,684.882
Number of cluster: 24,657.14
Number of cluster: 25,644.989
Number of cluster: 26,688.558
Number of cluster: 27,717.181
Number of cluster: 28,712.2
Number of cluster: 29,712.586
Number of cluster: 30,691
Number of cluster: 31,678.62
Number of cluster: 32,648.807
Number of cluster: 33,653.745
Number of cluster: 34,676.189
Estimated Number of Clutsers: 2,1832.59
Silhouette Width, (SW)
Number of cluster: 2,0.655212
Number of cluster: 3,0.363978
Number of cluster: 4,0.369249
Number of cluster: 5,0.349826
Number of cluster: 6,0.348551
Number of cluster: 7,0.229566
Number of cluster: 8,0.402567
Number of cluster: 9,0.286845
Number of cluster: 10,0.263131
Number of cluster: 11,0.270338
Number of cluster: 12,0.282832
Number of cluster: 13,0.266255
Number of cluster: 14,0.262535
Number of cluster: 15,0.251808
Number of cluster: 16,0.302263
Number of cluster: 17,0.28022
Number of cluster: 18,0.237311
Number of cluster: 19,0.235775
Number of cluster: 20,0.214429
Number of cluster: 21,0.213619
Number of cluster: 22,0.219423
Number of cluster: 23,0.200091
Number of cluster: 24,0.203288
Number of cluster: 25,0.157526
Number of cluster: 26,0.17346
Number of cluster: 27,0.109865
Number of cluster: 28,0.11874
Number of cluster: 29,0.0952068
Number of cluster: 30,0.0951301
Number of cluster: 31,0.115414
Number of cluster: 32,0.119961
Number of cluster: 33,0.112826
Number of cluster: 34,0.0942205
Estimated Number of Clutsers: 2,0.655212
Dunn, (D)
Number of cluster: 2,1.66219e-05
Number of cluster: 3,4.65795e-06
Number of cluster: 4,4.75991e-06
Number of cluster: 5,2.47116e-06
Number of cluster: 6,2.51362e-06
Number of cluster: 7,9.87681e-07
Number of cluster: 8,2.06353e-06
Number of cluster: 9,2.5245e-06
Number of cluster: 10,9.87681e-07
Number of cluster: 11,9.87681e-07
Number of cluster: 12,9.87681e-07
Number of cluster: 13,9.87681e-07
Number of cluster: 14,1.94621e-06
Number of cluster: 15,1.94621e-06
Number of cluster: 16,4.5107e-06
Number of cluster: 17,4.5107e-06
Number of cluster: 18,4.5107e-06
Number of cluster: 19,2.05562e-06
Number of cluster: 20,2.05562e-06
Number of cluster: 21,2.36462e-06
Number of cluster: 22,2.36462e-06
Number of cluster: 23,2.36462e-06
Number of cluster: 24,2.29344e-06
Number of cluster: 25,2.29344e-06
Number of cluster: 26,5.03255e-06
Number of cluster: 27,2.29344e-06
Number of cluster: 28,2.29344e-06
Number of cluster: 29,2.29344e-06
Number of cluster: 30,2.29344e-06
Number of cluster: 31,2.29344e-06
Number of cluster: 32,2.29344e-06
Number of cluster: 33,2.29344e-06
Number of cluster: 34,2.29344e-06
Estimated Number of Clutsers: 2,1.66219e-05
Davies Bouldin, (DB)
Number of cluster: 2,0.776648
Number of cluster: 3,1.20969
Number of cluster: 4,1.20924
Number of cluster: 5,1.10604
Number of cluster: 6,1.20968
Number of cluster: 7,1.34843
Number of cluster: 8,1.38207
Number of cluster: 9,1.36415
Number of cluster: 10,1.3982
Number of cluster: 11,1.42732
Number of cluster: 12,1.34614
Number of cluster: 13,1.30893
Number of cluster: 14,1.31038
Number of cluster: 15,1.28565
Number of cluster: 16,1.25427
Number of cluster: 17,1.29491
Number of cluster: 18,1.2777
Number of cluster: 19,1.27084
Number of cluster: 20,1.25544
Number of cluster: 21,1.25429
Number of cluster: 22,1.29042
Number of cluster: 23,1.2906
Number of cluster: 24,1.29338
Number of cluster: 25,1.31465
Number of cluster: 26,1.24322
Number of cluster: 27,1.23722
Number of cluster: 28,1.24908
Number of cluster: 29,1.25198
Number of cluster: 30,1.22735
Number of cluster: 31,1.22567
Number of cluster: 32,1.29741
Number of cluster: 33,1.30261
Number of cluster: 34,1.28962
Estimated Number of Clutsers: 2,0.776648
