Calinski Harabasz, (CH)
Number of cluster: 2,387.949
Number of cluster: 3,300.175
Number of cluster: 4,277.595
Number of cluster: 5,212.71
Number of cluster: 6,183.544
Number of cluster: 7,200.75
Number of cluster: 8,242.236
Number of cluster: 9,263.067
Number of cluster: 10,267.958
Number of cluster: 11,261.596
Number of cluster: 12,252.336
Number of cluster: 13,232.32
Number of cluster: 14,228.395
Number of cluster: 15,229.31
Number of cluster: 16,216.088
Number of cluster: 17,203.543
Number of cluster: 18,195.442
Number of cluster: 19,186.45
Number of cluster: 20,183.505
Number of cluster: 21,180.338
Number of cluster: 22,172.163
Number of cluster: 23,169.06
Number of cluster: 24,162.558
Number of cluster: 25,159.643
Number of cluster: 26,160.054
Number of cluster: 27,161.949
Estimated Number of Clutsers: 2,387.949
Silhouette Width, (SW)
Number of cluster: 2,0.400642
Number of cluster: 3,0.400371
Number of cluster: 4,0.418464
Number of cluster: 5,0.417921
Number of cluster: 6,0.427486
Number of cluster: 7,0.262131
Number of cluster: 8,0.448062
Number of cluster: 9,0.360485
Number of cluster: 10,0.326041
Number of cluster: 11,0.325045
Number of cluster: 12,0.292472
Number of cluster: 13,0.290984
Number of cluster: 14,0.279499
Number of cluster: 15,0.289188
Number of cluster: 16,0.28506
Number of cluster: 17,0.285986
Number of cluster: 18,0.28668
Number of cluster: 19,0.288447
Number of cluster: 20,0.293131
Number of cluster: 21,0.262668
Number of cluster: 22,0.262203
Number of cluster: 23,0.269196
Number of cluster: 24,0.266936
Number of cluster: 25,0.264561
Number of cluster: 26,0.26419
Number of cluster: 27,0.254387
Estimated Number of Clutsers: 8,0.448062
Dunn, (D)
Number of cluster: 2,0.000264299
Number of cluster: 3,0.000264299
Number of cluster: 4,0.000264299
Number of cluster: 5,0.000264299
Number of cluster: 6,0.000254302
Number of cluster: 7,0.000847673
Number of cluster: 8,0.000396825
Number of cluster: 9,0.00103734
Number of cluster: 10,0.00103734
Number of cluster: 11,0.000889152
Number of cluster: 12,0.0010484
Number of cluster: 13,0.0010484
Number of cluster: 14,0.00136585
Number of cluster: 15,0.00136585
Number of cluster: 16,0.00136585
Number of cluster: 17,0.00136585
Number of cluster: 18,0.000643087
Number of cluster: 19,0.000643087
Number of cluster: 20,0.000428725
Number of cluster: 21,0.00235798
Number of cluster: 22,0.00235798
Number of cluster: 23,0.0024325
Number of cluster: 24,0.0024325
Number of cluster: 25,0.00024325
Number of cluster: 26,0.00207715
Number of cluster: 27,0.00202079
Estimated Number of Clutsers: 23,0.0024325
Davies Bouldin, (DB)
Number of cluster: 2,1.85854
Number of cluster: 3,1.3888
Number of cluster: 4,1.1455
Number of cluster: 5,1.19585
Number of cluster: 6,1.05809
Number of cluster: 7,1.30278
Number of cluster: 8,1.1187
Number of cluster: 9,1.18379
Number of cluster: 10,1.22119
Number of cluster: 11,1.2568
Number of cluster: 12,1.35557
Number of cluster: 13,1.39163
Number of cluster: 14,1.4658
Number of cluster: 15,1.41552
Number of cluster: 16,1.4837
Number of cluster: 17,1.41047
Number of cluster: 18,1.34164
Number of cluster: 19,1.28686
Number of cluster: 20,1.28965
Number of cluster: 21,1.3969
Number of cluster: 22,1.3495
Number of cluster: 23,1.32572
Number of cluster: 24,1.3154
Number of cluster: 25,1.4193
Number of cluster: 26,1.40684
Number of cluster: 27,1.30595
Estimated Number of Clutsers: 6,1.05809
